"","Property_Sector","Origination_Date","Fixed_Maturity","Recent_NOI","Recent_Value","Orig_Note_Amount","Year_Built","Physical_Occupancy_At_Securitiza","Scheduled_Balloon","FSH","Health","Industrial","LSH","Mixed_Use","Mobile_Home","Multi_family","Office","Other","Retail_Anchored","Retail_Unanchored","Self_Storage","Warehouse","Spread","Inv_Bank_Dummy"
"4683","Multi-family",1997-02-19,2007-03-01,95016,1025000,791000,1978,0.9464,679759.53,0,0,0,0,0,0,1,0,0,0,0,0,0,2.16458,0
"4684","Multi-family",1996-12-19,2007-01-01,88028,850000,622000,1930,0.9474,516106.05,0,0,0,0,0,0,1,0,0,0,0,0,0,2.679625,0
"4685","Multi-family",1996-12-23,2027-01-01,65542,1e+06,6e+05,1907,0.8947,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,2.015,0
"4686","Multi-family",1996-12-19,2007-01-01,93225,730000,569000,1920,0.9737,472129.26,0,0,0,0,0,0,1,0,0,0,0,0,0,2.679625,0
"4687","Multi-family",1996-12-19,2007-01-01,76156,7e+05,546000,1930,0.9643,453045.34,0,0,0,0,0,0,1,0,0,0,0,0,0,2.679625,0
"4688","Multi-family",1996-09-27,2006-10-01,62496,770000,447000,1978,0.9375,370266.82,0,0,0,0,0,0,1,0,0,0,0,0,0,2.18489,1
"4689","Multi-family",1996-12-19,2007-01-01,63175,550000,429000,1930,0.9167,355963.42,0,0,0,0,0,0,1,0,0,0,0,0,0,2.679625,0
"4690","Self Storage",1996-12-30,2007-01-01,59926,6e+05,4e+05,1987,0.9757,334676.94,0,0,0,0,0,0,0,0,0,0,0,1,0,3.025,0
"4691","Multi-family",1996-08-12,2006-08-01,56541,775000,4e+05,1983,0.9444,334274.65,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2363,0
"4692","Mixed Use",1997-07-01,2007-07-01,5669365.24,7e+07,45500000,1972,1,41021426.91,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7875,1
"4693","Retail Anchored",1997-10-14,2012-11-01,4014616,5e+07,38206000,1954,0.954,28808274.22,0,0,0,0,0,0,0,0,0,1,0,0,0,1.25175,0
"4694","Retail Anchored",1997-10-15,2007-11-01,4502086.02,4.7e+07,35250000,1990,0.864,30534706.92,0,0,0,0,0,0,0,0,0,1,0,0,0,1.48175,0
"4695","Multi-family",1997-08-07,2012-09-01,4454047,4.2e+07,33500000,1995,0.995,25202966.94,0,0,0,0,0,0,1,0,0,0,0,0,0,1.149055,1
"4696","Multi-family",1997-05-01,2007-05-01,3147854.43,3.7e+07,29200000,1970,0.947,26453457.76,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5325,0
"4697","Limited Service Hotel",1997-10-03,2012-11-01,4115700.13,42700000,2.9e+07,-1,-1,19273483.12,0,0,0,1,0,0,0,0,0,0,0,0,0,1.72384,0
"4698","Multi-family",1997-05-01,2007-05-01,3650950,36400000,2.9e+07,1970,0.99,25569310.98,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2575,0
"4699","Retail Anchored",1997-06-30,2012-07-01,3448659.46,38500000,28850000,1991,0.96,22242998.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4975,0
"4700","Retail Anchored",1997-09-25,2002-10-01,3393065.55,39800000,28687500,1996,1,27248223.12,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0966,1
"4701","Healthcare",1997-08-28,2022-09-01,2586435.41,34800000,23400000,-1,-1,8848645.84,0,1,0,0,0,0,0,0,0,0,0,0,0,1.95835,1
"4702","Retail Anchored",1997-09-09,2012-10-01,2355820.86,29100000,2.3e+07,1995,1,18190011.71,0,0,0,0,0,0,0,0,0,1,0,0,0,1.18919,1
"4703","Office",1997-05-30,2022-06-01,3941632.6,35400000,2.3e+07,1900,0.872,1981293.72,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3875,1
"4704","Office",1997-08-01,2007-08-01,2654035.34,30800000,21375000,1971,0.97,17571020.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1.6475,1
"4705","Multi-family",1997-10-10,2007-11-01,2166559.31,2.5e+07,2e+07,1996,0.994,17641390.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3066,0
"4706","Multi-family",1997-08-11,2007-09-01,2223187,2.5e+07,2e+07,1972,0.946,17855775.72,0,0,0,0,0,0,1,0,0,0,0,0,0,1.49672,1
"4707","Retail Unanchored",1997-05-14,2007-06-01,3520582.31,33600000,2e+07,-1,-1,18267490.43,0,0,0,0,0,0,0,0,0,0,1,0,0,2.126975,1
"4708","Office",1997-07-18,2007-08-01,2418278.18,25500000,19125000,1987,0.987,17053142.56,0,0,0,0,0,0,0,1,0,0,0,0,0,1.54692,1
"4709","Multi-family",1997-06-20,2007-07-01,1892652.26,2.4e+07,18700000,1988,0.927,16839887.72,0,0,0,0,0,0,1,0,0,0,0,0,0,1.762065,0
